"bill_id","sponsor_icpsr","cosponsors_icpsr","year","chamber"
"hconres8-117","21953","21915 29710 21713 21529 29337 21140 21368 21942 29729 21525 15616 15454 21747 21306 20310 21763","2021","2"
"hconres80-117","21914","21986 21307","2022","2"
"hconres81-117","21307","29778 29729 15616","2022","2"
"hconres82-117","29504","20340 21343","2022","2"
"hconres83-117","21307","NA","2022","2"
"hconres84-117","21983","21706 21198 21906 21172 21910 21914 29710 29312 21566 21339 21307 21726 21985 21985 21372 21368 29908 21307 21940 20119 29379 21344 21342 21525 21985 15616 21951 21370 20954 21306 20310 21312 20927 21307 29378 21538 20750 21307","2022","2"
"hconres85-117","20946","21936 21985 21167 21945 21956 21745","2022","2"
"hconres86-117","21312","21506 21304 29588 21198 21986 21749 21749 20955 21172 21910 21914 29717 21915 31101 21529 21917 21566 21502 20305 21931 20519 21307 21985 21985 21368 21730 29504 21942 29379 21986 21342 21525 29377 21985 15616 21949 21950 21740 21951 21370 21762 29911 21746 21306 20310 20927 20934 21307 21538 20750 21983 21307 20723","2022","2"
"hconres87-117","21337","21329 21307 21307 21715 21927 21162 20926 21307 21541 20342 21981","2022","2"
"hconres88-117","14873","21554 21707 20952 15616 21741 21978 21983","2022","2"
"hconres89-117","21307","21545 21900 21307 21703 21110 21352 29588 21706 21198 21985 21986 21707 21749 21308 21986 20340 21709 20757 21749 21358 20322 21906 21749 20955 21172 21375 20733 20517 20748 20952 20501 21910 21912 21309 29717 21915 15410 29710 31101 21504 20959 29571 21917 21715 21566 21919 20749 21321 21502 21921 21922 21754 21723 20529 20305 21931 21339 29573 21307 21726 39305 20712 21985 21985 21140 21371 21728 21368 20902 29908 21530 21732 29778 21938 21940 21507 29504 21313 21942 29379 21344 21986 20538 21944 20122 21736 29729 20702 21342 15433 20537 21761 21525 21307 29377 29903 21985 15616 21950 31103 21315 21953 21370 21954 21955 15438 20954 21741 21307 20329 20343 20724 21762 29911 21326 39307 21102 29707 29768 21746 20762 21749 21972 21307 21306 20310 21312 20927 21975 21508 21307 21977 21978 21365 29378 20504 21538 20750 21118","2022","2"
"hconres9-117","21554","21545 21307 21703 21352 21329 20757 20952 20501 15410 31101 21713 21504 21718 21919 21502 21754 21723 20529 29337 21931 20519 20907 21339 29573 21307 39305 21985 21372 21937 29769 21732 21938 21313 21941 20119 21344 21944 20122 21736 29729 20702 29776 20537 21738 29903 21985 15616 15454 21740 21951 31103 20705 21953 15438 20954 21540 21307 20329 20902 20724 29911 21326 20321 21102 21966 21972 21747 21306 20310 21973 29901 21978 21314 21366 20504 21538 21118","2021","2"
"hconres90-117","21723","21701 29588 20322 20733 20501 21722 21934 21730 21941 21942 21986 21951 21953 21307 29707 21964 21965 21972 21747 20927","2022","2"
"hconres91-117","29776","20530","2022","2"
"hconres92-117","21330","20501 29717 21307 21307 21302 20530 21307","2022","2"
"hconres93-117","20504","21741","2022","2"
"hconres94-117","21900","21715 21307 21314 21365","2022","2"
"hconres95-117","21346","20356 20708 21307 21561 20704 21315 20329 21541 21981","2022","2"
"hconres96-117","21312","15616","2022","2"
"hconres97-117","21312","NA","2022","2"
"hconres98-117","21312","NA","2022","2"
"hconres99-117","21705","NA","2022","2"
"hjres1-117","20959","21545 21506 21900 21307 21703 21110 21352 21304 21554 29339 29588 21706 21198 21985 21548 21707 21308 21329 21709 21358 20322 21906 20708 21362 21749 21172 21375 20733 20517 20952 15019 21711 20706 21910 21712 21912 21914 29717 21915 15410 29109 31101 21916 21713 21504 21529 29571 29561 21917 29312 21715 21566 21919 20749 21321 21502 20958 21921 21922 21923 21754 21723 20529 21930 29337 21931 20519 20907 21934 14873 21303 21726 21343 20712 21985 21985 15029 21542 21371 21728 21372 21368 21937 29769 20902 21730 21340 21756 20136 20145 29908 21732 29778 21938 21307 21940 21939 21507 29504 21313 21941 20119 21942 29379 21344 21986 20538 21944 20122 21736 29729 20702 21342 15433 20537 21761 21525 21307 29377 29903 21948 21985 21536 15616 21739 21950 21740 21951 29741 31103 21315 21953 20920 21370 21954 20954 21741 21540 21307 21311 20329 20724 21762 29911 20104 21326 20944 39307 29707 21964 20542 21965 29768 21746 21966 21968 21972 21307 21747 21306 20310 21312 29901 20927 21975 20934 21508 21307 21977 21978 21979 21365 29106 21538 20750 21983 21763 21307 21118 20723","2021","2"
"hjres10-117","29573","NA","2021","2"
"hjres100-117","31103","NA","2022","2"
"hjres101-117","20702","NA","2022","2"
"hjres102-117","21758","29701 21516 21700 21551 21702 21704 21705 21307 21519 29760 21510 20355 21307 21986 21908 21307 21985 21106 21174 21714 21749 21307 21920 20527 21986 21925 21307 21191 21139 21149 21760 21514 21724 21346 21307 21727 20704 21986 21515 21307 31102 21735 20535 21307 21526 21557 21307 21753 21148 21500 20909 21986 21544 21961 21744 29759 14863 21745 21541 21971 21973 21360 21116 21351 21364","2022","2"
"hjres103-117","21333","21516 21749 21503 21142 21987 21970","2022","2"
"hjres104-117","21749","NA","2022","2"
"hjres105-117","21307","21307 21750 21986 29393 21355","2022","2"
"hjres106-117","20527","NA","2022","2"
"hjres11-117","21935","29701 21516 21196 21901 21700 21551 21701 21903 21759 21702 21333 21307 21704 21307 21705 20758 21986 21307 29760 21193 20709 21510 21132 21708 21905 29323 21307 21986 21513 20356 21985 29550 21908 20344 21565 21985 21106 21911 21755 21564 21328 21179 20316 21307 21174 21714 21750 21307 21307 21717 21749 21307 21307 21718 21178 20518 20521 21307 21920 21719 21307 21986 21165 21307 20527 21986 21925 21103 29762 21523 20124 21926 21307 21559 21927 20916 21929 21139 21307 21149 21760 21985 21187 21514 21724 21503 21307 21725 21346 20107 21307 21985 21162 21727 21353 21936 21542 21985 21167 21561 21307 21731 21562 21302 20704 20755 21986 21757 21749 21150 21515 29393 20926 21307 21307 21307 21307 20903 20522 21188 20535 21985 21945 21946 21307 21307 21526 21557 21307 21355 21987 21753 21307 21148 21500 21356 21307 20909 21101 21956 21359 14854 20301 21959 21544 21744 21307 21105 21123 21985 29910 20729 21373 21745 21307 21969 21986 21541 21971 21367 21163 21973 21749 20946 15433 21974 20342 15446 21307 21980 21307 21337 20725 21330 21981 21360 21116 21351 21364 20138 20756 21108 21539","2021","2"
"hjres12-117","21753","21516 21700 21701 21702 21307 21307 21705 20758 21986 21307 21193 21510 21708 21905 21307 21749 21985 29550 21758 21565 21911 21564 21307 21174 21749 21307 21717 21307 21749 21985 21307 21920 21719 21307 21923 21307 21986 21925 21926 21307 21307 21760 21985 21725 21346 21307 21985 21727 21936 21985 21562 21986 21757 21749 29393 21307 21307 21307 31102 21735 21945 21307 21557 21307 21307 21987 21307 21307 21500 21356 21956 21359 21986 21961 21105 21307 21971 21749 15433 21974 21337 21984 21539","2021","2"
"hjres13-117","21356","21908 21758 21174 20909","2021","2"
"hjres14-117","20748","21308 15019 15410 29312 21715 20958 29504 29911","2021","2"
"hjres15-117","29776","21900 21110 21709 21362 21172 20748 20952 20959 21529 20958 20305 21307 21140 21728 29778 21940 21507 21313 21942 29729 20537 21525 21950 21954 20954 20104 20542 21977 21978 21538","2021","2"
"hjres16-117","29776","21900 21110 21709 21362 21172 20748 20952 20959 21529 20305 21307 21140 21728 29778 21940 21507 21313 21942 29729 20537 21525 21950 21954 20954 20104 20542 21977 21978 21538","2021","2"
"hjres17-117","20762","21545 21506 21900 21307 21902 21703 21110 21352 21304 21554 29339 29588 21706 21198 21985 21986 21548 21707 21308 21986 21329 20340 21709 20757 21358 20322 21906 20708 21362 20955 21172 21375 20733 20517 20748 20952 15019 21711 20501 20706 21910 21712 21912 20533 21309 29717 21915 15410 29710 29109 31101 21916 21713 21504 20959 21529 29561 21917 29312 21715 21566 21919 20749 21321 21502 20958 21921 21922 21923 21754 21723 20529 20305 21930 29337 21931 20519 20907 21339 21934 14873 21303 29573 21307 21726 21343 39305 20712 21985 21985 15029 21140 21371 21728 21372 21368 21937 29769 20902 21730 21340 21756 20136 20145 29908 21530 21732 29778 21938 21307 21940 21939 21507 21313 21941 20119 21942 29379 21344 21986 20538 21944 20122 21736 29729 20702 29776 21342 20537 21761 21525 21738 29377 29903 21948 21985 21536 15616 21739 21949 21950 15454 21740 21951 29741 31103 20705 21315 21953 20920 21554 21370 21954 21955 15438 20954 21741 21101 21540 21307 29317 21311 20329 29346 20343 20329 20902 20724 21762 29911 20104 21326 20944 21962 20321 39307 21102 29707 21964 20542 21965 29768 21746 21966 21968 21972 21307 21747 21306 20310 21312 29368 29901 20927 21975 20934 21508 21307 21977 21978 21979 21314 21365 21366 29378 20504 29106 21538 20750 21983 21763 21307 21118 20723","2021","2"
"hjres18-117","21760","NA","2021","2"
"hjres19-117","21935","21903 21510 21106 21307 21307 21165 21985 21561 21307 21307 21356 21307 21359 15433","2021","2"
"hjres2-117","20709","NA","2021","2"
"hjres20-117","21545","21950 29911","2021","2"
"hjres21-117","20944","NA","2021","2"
"hjres22-117","20310","21548 20517 21912 21309 21504 21529 21502 20305 29337 21931 29573 39305 20136 21313 20537 15616 21740 15438 21762 21978 21983","2021","2"
"hjres23-117","21342","29588 21198 21986 21906 21715 21921 29337 21985 21985 29778 29729 21525 21949 21955 29911 21975 21977","2021","2"
